,geo_name,geo_lat,geo_lon
0,People’s Republic of China,35.0,105.0
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,Rogue River,42.43595,-123.172
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,Parish of Saint Ann,18.35,-77.26667
16,,,
17,Kanton Basel-Landschaft,47.50438,7.70444
18,,,
19,The Other Palace,51.49889,-0.14216
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,Birmingham,52.48142,-1.89983
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,Michigan,44.25029,-85.50033
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,Township of Central Lake,45.07808,-85.27884
59,,,
60,,,
61,Charlotte Amalie,18.3419,-64.9307
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,Township of Chesaning,43.1752,-84.10738
69,,,
70,Little Rock,34.74648,-92.28959
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,Shoefelt Gulch,45.59549,-110.91078
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,Williamston,35.8546,-77.05551
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,Tunnel City,44.00719,-90.56569
114,,,
115,Town of Detroit,44.76238,-69.31131
116,,,
117,,,
118,,,
119,,,
120,Huron River,41.3981,-82.54906
121,,,
122,,,
123,Casey County,37.32228,-84.92837
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,Mason Hall,18.39662,-76.92063
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,Muskegon River,43.2614,-86.24812
141,,,
142,Grand River,40.81944,-93.96245
143,,,
144,Bartın,41.58333,32.5
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,Graves County,36.72314,-88.65121
156,,,
157,Salt Lake City,40.76078,-111.89105
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,Garden City,37.97169,-100.87266
166,,,
167,,,
168,City of Cambridge,42.37582,-71.1184
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,Grand Haven,43.06307,-86.22839
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,Town of Detroit,44.76238,-69.31131
203,,,
204,,,
205,Lake St. Andrew,51.7261,-97.38817
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,Michigan,44.25029,-85.50033
229,Interlochen,44.64472,-85.7673
230,,,
231,City of Oak Hill,36.07348,-86.78555
232,,,
233,Michigan,44.25029,-85.50033
234,,,
235,City of Jacob City,30.89265,-85.41059
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,Oakwood,39.72534,-84.17411
246,,,
247,,,
248,,,
249,,,
250,,,
251,Iron Mountain Lake,37.69311,-90.62262
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,Hot Spring County,34.31763,-92.94601
264,,,
265,,,
266,,,
267,Card,45.944,1.41134
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,Mission Viejo,33.60002,-117.672
277,,,
278,,,
279,,,
280,,,
281,,,
282,Madison,43.07305,-89.40123
283,,,
284,Latin Quarter,31.20074,29.91098
285,,,
286,Drummond Island Airport,46.00944,-83.73927
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,McLaren Northern Michigan Hospital,45.37328,-84.96891
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,Richmond,37.55376,-77.46026
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,Milan,45.46427,9.18951
315,,,
316,,,
317,Millington,35.34147,-89.89731
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,North Carolina,35.50069,-80.00032
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,Bartın,41.58333,32.5
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,Spring Lake,53.51895,-114.13733
351,,,
352,,,
353,,,
354,,,
355,Royal Oak,42.48948,-83.14465
356,Reed City,43.87502,-85.51005
357,,,
358,,,
359,,,
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,Michigan,44.25029,-85.50033
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,Port Said,31.12339,32.41926
392,,,
393,,,
394,,,
395,,,
396,Edinburgh of the Seven Seas,-37.06757,-12.31155
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,Rogers Camp,36.10856,-118.63703
412,,,
413,,,
414,,,
415,,,
416,,,
417,Town of Detroit,44.76238,-69.31131
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,Little Rock,34.74648,-92.28959
456,Sterling Heights,42.58031,-83.0302
457,,,
458,,,
459,,,
460,Eureka County,39.98389,-116.26856
461,,,
462,,,
463,,,
464,Salt Lake City,40.76078,-111.89105
465,Old Mission Peninsula School,44.87361,-85.52091
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,Riverside County,33.74368,-115.99386
476,,,
477,,,
478,Town of Rochester,41.75998,-70.83849
479,,,
480,Louisiana State University Highland Hall,30.41246,-91.17503
481,,,
482,,,
483,,,
484,,,
485,,,
486,,,
487,,,
488,,,
489,,,
490,Salt Lake City,40.76078,-111.89105
491,,,
492,,,
493,,,
494,,,
495,,,
496,,,
497,,,
498,,,
499,,,
500,,,
501,,,
502,,,
503,,,
504,,,
505,,,
506,Wood Street Village,51.25098,-0.63695
507,,,
508,,,
509,,,
510,,,
511,,,
512,,,
513,,,
514,,,
515,,,
516,,,
517,Marquette County,46.66295,-87.5735
518,,,
519,,,
520,,,
521,,,
522,,,
523,,,
524,Newaygo County,43.55417,-85.80091
525,,,
526,,,
527,,,
528,Michigan,44.25029,-85.50033
529,,,
530,,,
531,,,
532,,,
533,,,
534,North Park,43.71833,-79.47667
